timeStamp,elapsed,label,grpThreads,allThreads
1685178818293,34555,192.168.1.204 Memory,0,0
1685178818294,2359,192.168.1.204 CPU,0,0
1685178819300,34556,192.168.1.204 Memory,0,0
1685178819300,0,192.168.1.204 CPU,0,0
1685178820311,34555,192.168.1.204 Memory,0,0
1685178820311,404,192.168.1.204 CPU,0,0
1685178821320,34551,192.168.1.204 Memory,0,0
1685178821320,769,192.168.1.204 CPU,0,0
1685178823051,34551,192.168.1.204 Memory,0,0
1685178823051,5054,192.168.1.204 CPU,0,0
1685178824062,34549,192.168.1.204 Memory,0,0
1685178824062,61002,192.168.1.204 CPU,0,0
1685178825067,34878,192.168.1.204 Memory,0,0
1685178825067,56764,192.168.1.204 CPU,0,0
1685178826088,34935,192.168.1.204 Memory,0,0
1685178826088,54058,192.168.1.204 CPU,0,0
1685178827094,35009,192.168.1.204 Memory,0,0
1685178827094,56137,192.168.1.204 CPU,0,0
1685178828107,35038,192.168.1.204 Memory,0,0
1685178828107,54272,192.168.1.204 CPU,0,0
1685178829120,35143,192.168.1.204 Memory,0,0
1685178829120,58429,192.168.1.204 CPU,0,0
1685178830138,35243,192.168.1.204 Memory,0,0
1685178830138,58641,192.168.1.204 CPU,0,0
1685178831151,35450,192.168.1.204 Memory,0,0
1685178831151,61770,192.168.1.204 CPU,0,0
1685178832164,35485,192.168.1.204 Memory,0,0
1685178832164,49814,192.168.1.204 CPU,0,0
