timeStamp,elapsed,label,grpThreads,allThreads
1685178708610,34687,192.168.1.204 Memory,0,0
1685178708611,2378,192.168.1.204 CPU,0,0
1685178709622,34687,192.168.1.204 Memory,0,0
1685178709622,399,192.168.1.204 CPU,0,0
1685178710636,34686,192.168.1.204 Memory,0,0
1685178710636,400,192.168.1.204 CPU,0,0
1685178711648,34687,192.168.1.204 Memory,0,0
1685178711648,375,192.168.1.204 CPU,0,0
1685178712652,34687,192.168.1.204 Memory,0,0
1685178712652,750,192.168.1.204 CPU,0,0
1685178713653,34684,192.168.1.204 Memory,0,0
1685178713653,13638,192.168.1.204 CPU,0,0
1685178714665,34684,192.168.1.204 Memory,0,0
1685178714665,43796,192.168.1.204 CPU,0,0
1685178715676,34684,192.168.1.204 Memory,0,0
1685178715676,58145,192.168.1.204 CPU,0,0
1685178716684,34684,192.168.1.204 Memory,0,0
1685178716684,56761,192.168.1.204 CPU,0,0
1685178717695,34684,192.168.1.204 Memory,0,0
1685178717695,64213,192.168.1.204 CPU,0,0
1685178718705,34684,192.168.1.204 Memory,0,0
1685178718705,68211,192.168.1.204 CPU,0,0
1685178719720,34684,192.168.1.204 Memory,0,0
1685178719720,70094,192.168.1.204 CPU,0,0
1685178720730,34684,192.168.1.204 Memory,0,0
1685178720730,63257,192.168.1.204 CPU,0,0
1685178721741,34684,192.168.1.204 Memory,0,0
1685178721741,66808,192.168.1.204 CPU,0,0
