timeStamp,elapsed,label,grpThreads,allThreads
1685178145341,27608,192.168.1.204 Memory,0,0
1685178145341,5501,192.168.1.204 CPU,0,0
1685178146351,27608,192.168.1.204 Memory,0,0
1685178146351,372,192.168.1.204 CPU,0,0
1685178147361,27608,192.168.1.204 Memory,0,0
1685178147361,1204,192.168.1.204 CPU,0,0
1685178148361,27608,192.168.1.204 Memory,0,0
1685178148361,400,192.168.1.204 CPU,0,0
1685178149377,27606,192.168.1.204 Memory,0,0
1685178149377,1574,192.168.1.204 CPU,0,0
1685178150388,27676,192.168.1.204 Memory,0,0
1685178150388,39742,192.168.1.204 CPU,0,0
1685178151388,27696,192.168.1.204 Memory,0,0
1685178151388,96356,192.168.1.204 CPU,0,0
1685178152397,27915,192.168.1.204 Memory,0,0
1685178152397,96924,192.168.1.204 CPU,0,0
1685178153448,28129,192.168.1.204 Memory,0,0
1685178153448,95564,192.168.1.204 CPU,0,0
1685178154453,28083,192.168.1.204 Memory,0,0
1685178154453,91296,192.168.1.204 CPU,0,0
1685178155465,28069,192.168.1.204 Memory,0,0
1685178155465,98884,192.168.1.204 CPU,0,0
1685178156476,28177,192.168.1.204 Memory,0,0
1685178156476,96122,192.168.1.204 CPU,0,0
1685178157480,28226,192.168.1.204 Memory,0,0
1685178157480,99596,192.168.1.204 CPU,0,0
1685178158496,28367,192.168.1.204 Memory,0,0
1685178158496,94671,192.168.1.204 CPU,0,0
