timeStamp,elapsed,label,grpThreads,allThreads
1685177474462,31513,192.168.1.204 Memory,0,0
1685177474463,51409,192.168.1.204 CPU,0,0
1685177475465,31480,192.168.1.204 Memory,0,0
1685177475465,50774,192.168.1.204 CPU,0,0
1685177476479,31484,192.168.1.204 Memory,0,0
1685177476479,51175,192.168.1.204 CPU,0,0
1685177477484,31526,192.168.1.204 Memory,0,0
1685177477484,51937,192.168.1.204 CPU,0,0
1685177478820,31472,192.168.1.204 Memory,0,0
1685177478820,59328,192.168.1.204 CPU,0,0
1685177479835,32139,192.168.1.204 Memory,0,0
1685177479835,96515,192.168.1.204 CPU,0,0
1685177480843,32089,192.168.1.204 Memory,0,0
1685177480843,95424,192.168.1.204 CPU,0,0
1685177481844,32274,192.168.1.204 Memory,0,0
1685177481844,97706,192.168.1.204 CPU,0,0
1685177482844,32063,192.168.1.204 Memory,0,0
1685177482844,98461,192.168.1.204 CPU,0,0
1685177483846,31934,192.168.1.204 Memory,0,0
1685177483846,97082,192.168.1.204 CPU,0,0
1685177484859,31989,192.168.1.204 Memory,0,0
1685177484859,98829,192.168.1.204 CPU,0,0
1685177485871,31803,192.168.1.204 Memory,0,0
1685177485871,98856,192.168.1.204 CPU,0,0
1685177486886,31701,192.168.1.204 Memory,0,0
1685177486886,99248,192.168.1.204 CPU,0,0
1685177487899,31563,192.168.1.204 Memory,0,0
1685177487899,99607,192.168.1.204 CPU,0,0
