timeStamp,elapsed,label,grpThreads,allThreads
1685177546865,31568,192.168.1.204 Memory,0,0
1685177546865,1600,192.168.1.204 CPU,0,0
1685177547874,31567,192.168.1.204 Memory,0,0
1685177547874,799,192.168.1.204 CPU,0,0
1685177548882,31567,192.168.1.204 Memory,0,0
1685177548882,775,192.168.1.204 CPU,0,0
1685177549893,31551,192.168.1.204 Memory,0,0
1685177549893,1150,192.168.1.204 CPU,0,0
1685177550969,31204,192.168.1.204 Memory,0,0
1685177551195,14268,192.168.1.204 CPU,0,0
1685177552268,32199,192.168.1.204 Memory,0,0
1685177552268,82553,192.168.1.204 CPU,0,0
1685177553274,33479,192.168.1.204 Memory,0,0
1685177553274,99601,192.168.1.204 CPU,0,0
1685177554284,33172,192.168.1.204 Memory,0,0
1685177554284,97746,192.168.1.204 CPU,0,0
1685177555294,33143,192.168.1.204 Memory,0,0
1685177555294,98838,192.168.1.204 CPU,0,0
1685177556301,33329,192.168.1.204 Memory,0,0
1685177556301,97794,192.168.1.204 CPU,0,0
1685177557313,33334,192.168.1.204 Memory,0,0
1685177557313,99595,192.168.1.204 CPU,0,0
1685177558342,34005,192.168.1.204 Memory,0,0
1685177558342,99644,192.168.1.204 CPU,0,0
1685177559357,33678,192.168.1.204 Memory,0,0
1685177559357,99173,192.168.1.204 CPU,0,0
1685177560368,34017,192.168.1.204 Memory,0,0
1685177560368,98847,192.168.1.204 CPU,0,0
1685177561378,34570,192.168.1.204 Memory,0,0
1685177561379,86990,192.168.1.204 CPU,0,0
1685177562382,33389,192.168.1.204 Memory,0,0
1685177562382,45948,192.168.1.204 CPU,0,0
1685177563397,32576,192.168.1.204 Memory,0,0
1685177563397,4298,192.168.1.204 CPU,0,0
