timeStamp,elapsed,label,grpThreads,allThreads
1685183880696,30018,192.168.1.204 Memory,0,0
1685183880696,6351,192.168.1.204 CPU,0,0
1685183881703,29956,192.168.1.204 Memory,0,0
1685183881703,796,192.168.1.204 CPU,0,0
1685183882705,29901,192.168.1.204 Memory,0,0
1685183882705,0,192.168.1.204 CPU,0,0
1685183883716,29902,192.168.1.204 Memory,0,0
1685183883716,775,192.168.1.204 CPU,0,0
1685183885310,30044,192.168.1.204 Memory,0,0
1685183885310,39834,192.168.1.204 CPU,0,0
1685183886324,30822,192.168.1.204 Memory,0,0
1685183886324,42246,192.168.1.204 CPU,0,0
1685183887328,32237,192.168.1.204 Memory,0,0
1685183887328,99224,192.168.1.204 CPU,0,0
1685183888330,33341,192.168.1.204 Memory,0,0
1685183888330,98151,192.168.1.204 CPU,0,0
1685183889343,35170,192.168.1.204 Memory,0,0
1685183889343,99262,192.168.1.204 CPU,0,0
1685183890364,33993,192.168.1.204 Memory,0,0
1685183890364,90697,192.168.1.204 CPU,0,0
1685183891379,35202,192.168.1.204 Memory,0,0
1685183891379,98461,192.168.1.204 CPU,0,0
1685183892396,35233,192.168.1.204 Memory,0,0
1685183892396,88085,192.168.1.204 CPU,0,0
1685183893403,34390,192.168.1.204 Memory,0,0
1685183893403,97463,192.168.1.204 CPU,0,0
1685183894425,35277,192.168.1.204 Memory,0,0
1685183894425,98400,192.168.1.204 CPU,0,0
1685183895434,35527,192.168.1.204 Memory,0,0
1685183895434,95931,192.168.1.204 CPU,0,0
1685183896447,35710,192.168.1.204 Memory,0,0
1685183896447,88196,192.168.1.204 CPU,0,0
1685183897450,33368,192.168.1.204 Memory,0,0
1685183897450,34008,192.168.1.204 CPU,0,0
1685183898451,30949,192.168.1.204 Memory,0,0
1685183898451,26040,192.168.1.204 CPU,0,0
1685183899461,30934,192.168.1.204 Memory,0,0
1685183899461,3148,192.168.1.204 CPU,0,0
1685183900462,30921,192.168.1.204 Memory,0,0
1685183900462,1194,192.168.1.204 CPU,0,0
1685183901464,31342,192.168.1.204 Memory,0,0
1685183901464,10089,192.168.1.204 CPU,0,0
1685183902475,29976,192.168.1.204 Memory,0,0
1685183902475,24128,192.168.1.204 CPU,0,0
