timeStamp,elapsed,label,grpThreads,allThreads
1685176894148,32307,192.168.1.204 Memory,0,0
1685176894148,779,192.168.1.204 CPU,0,0
1685176895158,32307,192.168.1.204 Memory,0,0
1685176895158,1568,192.168.1.204 CPU,0,0
1685176896166,32304,192.168.1.204 Memory,0,0
1685176896166,398,192.168.1.204 CPU,0,0
1685176897178,32304,192.168.1.204 Memory,0,0
1685176897178,775,192.168.1.204 CPU,0,0
1685176898380,32299,192.168.1.204 Memory,0,0
1685176898380,781,192.168.1.204 CPU,0,0
1685176899381,31098,192.168.1.204 Memory,0,0
1685176899381,17367,192.168.1.204 CPU,0,0
1685176900391,31884,192.168.1.204 Memory,0,0
1685176900391,91961,192.168.1.204 CPU,0,0
1685176901401,32625,192.168.1.204 Memory,0,0
1685176901402,98843,192.168.1.204 CPU,0,0
1685176902414,32684,192.168.1.204 Memory,0,0
1685176902414,99228,192.168.1.204 CPU,0,0
1685176903424,32706,192.168.1.204 Memory,0,0
1685176903424,98873,192.168.1.204 CPU,0,0
1685176904437,32804,192.168.1.204 Memory,0,0
1685176904437,98842,192.168.1.204 CPU,0,0
1685176905449,32922,192.168.1.204 Memory,0,0
1685176905449,100000,192.168.1.204 CPU,0,0
1685176906458,32973,192.168.1.204 Memory,0,0
1685176906458,99629,192.168.1.204 CPU,0,0
1685176907465,33010,192.168.1.204 Memory,0,0
1685176907465,99224,192.168.1.204 CPU,0,0
1685176908465,33105,192.168.1.204 Memory,0,0
1685176908465,98848,192.168.1.204 CPU,0,0
1685176909468,33296,192.168.1.204 Memory,0,0
1685176909468,71461,192.168.1.204 CPU,0,0
1685176910477,33284,192.168.1.204 Memory,0,0
1685176910477,19500,192.168.1.204 CPU,0,0
