timeStamp,elapsed,label,grpThreads,allThreads
1685174946536,27428,192.168.1.204 Memory,0,0
1685174946536,1801,192.168.1.204 CPU,0,0
1685174947545,27428,192.168.1.204 Memory,0,0
1685174947545,803,192.168.1.204 CPU,0,0
1685174948559,27427,192.168.1.204 Memory,0,0
1685174948559,771,192.168.1.204 CPU,0,0
1685174949575,27427,192.168.1.204 Memory,0,0
1685174949575,375,192.168.1.204 CPU,0,0
1685174950675,27427,192.168.1.204 Memory,0,0
1685174950675,0,192.168.1.204 CPU,0,0
1685174951682,27314,192.168.1.204 Memory,0,0
1685174951682,24460,192.168.1.204 CPU,0,0
1685174952694,27463,192.168.1.204 Memory,0,0
1685174952694,30074,192.168.1.204 CPU,0,0
1685174953705,27466,192.168.1.204 Memory,0,0
1685174953705,30857,192.168.1.204 CPU,0,0
1685174954709,27469,192.168.1.204 Memory,0,0
1685174954709,29718,192.168.1.204 CPU,0,0
1685174955715,27469,192.168.1.204 Memory,0,0
1685174955715,33366,192.168.1.204 CPU,0,0
1685174956717,27476,192.168.1.204 Memory,0,0
1685174956717,33983,192.168.1.204 CPU,0,0
1685174957721,27478,192.168.1.204 Memory,0,0
1685174957721,31485,192.168.1.204 CPU,0,0
1685174958732,27490,192.168.1.204 Memory,0,0
1685174958732,30265,192.168.1.204 CPU,0,0
1685174959735,27548,192.168.1.204 Memory,0,0
1685174959735,29340,192.168.1.204 CPU,0,0
