timeStamp,elapsed,label,grpThreads,allThreads
1685175632046,26366,192.168.1.204 Memory,0,0
1685175632046,1584,192.168.1.204 CPU,0,0
1685175633055,26320,192.168.1.204 Memory,0,0
1685175633055,1910,192.168.1.204 CPU,0,0
1685175634067,26280,192.168.1.204 Memory,0,0
1685175634067,800,192.168.1.204 CPU,0,0
1685175635080,26245,192.168.1.204 Memory,0,0
1685175635080,803,192.168.1.204 CPU,0,0
1685175636452,26245,192.168.1.204 Memory,0,0
1685175636452,0,192.168.1.204 CPU,0,0
1685175637467,26197,192.168.1.204 Memory,0,0
1685175637467,10092,192.168.1.204 CPU,0,0
1685175638479,26749,192.168.1.204 Memory,0,0
1685175638479,51177,192.168.1.204 CPU,0,0
1685175639497,26998,192.168.1.204 Memory,0,0
1685175639497,47458,192.168.1.204 CPU,0,0
1685175640499,27299,192.168.1.204 Memory,0,0
1685175640499,48220,192.168.1.204 CPU,0,0
1685175641510,27506,192.168.1.204 Memory,0,0
1685175641510,52191,192.168.1.204 CPU,0,0
1685175642512,27645,192.168.1.204 Memory,0,0
1685175642512,46328,192.168.1.204 CPU,0,0
1685175643523,28023,192.168.1.204 Memory,0,0
1685175643523,49590,192.168.1.204 CPU,0,0
1685175644536,28133,192.168.1.204 Memory,0,0
1685175644536,51962,192.168.1.204 CPU,0,0
1685175645550,28239,192.168.1.204 Memory,0,0
1685175645550,52717,192.168.1.204 CPU,0,0
