timeStamp,elapsed,label,grpThreads,allThreads
1685174865300,26972,192.168.1.204 Memory,0,0
1685174865300,45665,192.168.1.204 CPU,0,0
1685174866308,26955,192.168.1.204 Memory,0,0
1685174866308,1556,192.168.1.204 CPU,0,0
1685174867319,26953,192.168.1.204 Memory,0,0
1685174867319,0,192.168.1.204 CPU,0,0
1685174868323,26948,192.168.1.204 Memory,0,0
1685174868323,0,192.168.1.204 CPU,0,0
1685174869324,26942,192.168.1.204 Memory,0,0
1685174869324,1935,192.168.1.204 CPU,0,0
1685174870334,26730,192.168.1.204 Memory,0,0
1685174870334,32278,192.168.1.204 CPU,0,0
1685174871336,26828,192.168.1.204 Memory,0,0
1685174871336,30277,192.168.1.204 CPU,0,0
1685174872346,26842,192.168.1.204 Memory,0,0
1685174872346,26309,192.168.1.204 CPU,0,0
1685174873359,26833,192.168.1.204 Memory,0,0
1685174873359,29001,192.168.1.204 CPU,0,0
1685174874372,26809,192.168.1.204 Memory,0,0
1685174874372,29743,192.168.1.204 CPU,0,0
1685174875386,26800,192.168.1.204 Memory,0,0
1685174875386,32919,192.168.1.204 CPU,0,0
1685174876389,26920,192.168.1.204 Memory,0,0
1685174876389,46539,192.168.1.204 CPU,0,0
1685174877393,27148,192.168.1.204 Memory,0,0
1685174877393,54819,192.168.1.204 CPU,0,0
1685174878407,27267,192.168.1.204 Memory,0,0
1685174878407,37496,192.168.1.204 CPU,0,0
