timeStamp,elapsed,label,grpThreads,allThreads
1685174982332,27550,192.168.1.204 Memory,0,0
1685174982332,1916,192.168.1.204 CPU,0,0
1685174983339,27549,192.168.1.204 Memory,0,0
1685174983339,399,192.168.1.204 CPU,0,0
1685174984353,27549,192.168.1.204 Memory,0,0
1685174984353,0,192.168.1.204 CPU,0,0
1685174985366,27549,192.168.1.204 Memory,0,0
1685174985366,771,192.168.1.204 CPU,0,0
1685174986491,27549,192.168.1.204 Memory,0,0
1685174986492,376,192.168.1.204 CPU,0,0
1685174987505,27487,192.168.1.204 Memory,0,0
1685174987505,33754,192.168.1.204 CPU,0,0
1685174988517,27563,192.168.1.204 Memory,0,0
1685174988517,31489,192.168.1.204 CPU,0,0
1685174989531,27689,192.168.1.204 Memory,0,0
1685174989531,30819,192.168.1.204 CPU,0,0
1685174990540,27840,192.168.1.204 Memory,0,0
1685174990540,31166,192.168.1.204 CPU,0,0
1685174991553,27961,192.168.1.204 Memory,0,0
1685174991553,30744,192.168.1.204 CPU,0,0
1685174992569,28101,192.168.1.204 Memory,0,0
1685174992569,30992,192.168.1.204 CPU,0,0
1685174993584,27912,192.168.1.204 Memory,0,0
1685174993584,32564,192.168.1.204 CPU,0,0
1685174994595,27912,192.168.1.204 Memory,0,0
1685174994596,30984,192.168.1.204 CPU,0,0
1685174995602,27913,192.168.1.204 Memory,0,0
1685174995602,30111,192.168.1.204 CPU,0,0
