timeStamp,elapsed,label,grpThreads,allThreads
1685175566589,25630,192.168.1.204 Memory,0,0
1685175566590,1015,192.168.1.204 CPU,0,0
1685175567594,25630,192.168.1.204 Memory,0,0
1685175567594,400,192.168.1.204 CPU,0,0
1685175568606,25630,192.168.1.204 Memory,0,0
1685175568606,0,192.168.1.204 CPU,0,0
1685175569618,25630,192.168.1.204 Memory,0,0
1685175569618,400,192.168.1.204 CPU,0,0
1685175570619,25633,192.168.1.204 Memory,0,0
1685175570619,17106,192.168.1.204 CPU,0,0
1685175571625,26109,192.168.1.204 Memory,0,0
1685175571625,53710,192.168.1.204 CPU,0,0
1685175572630,26378,192.168.1.204 Memory,0,0
1685175572630,48617,192.168.1.204 CPU,0,0
1685175573644,26726,192.168.1.204 Memory,0,0
1685175573644,44593,192.168.1.204 CPU,0,0
1685175574658,26988,192.168.1.204 Memory,0,0
1685175574658,49023,192.168.1.204 CPU,0,0
1685175575659,27300,192.168.1.204 Memory,0,0
1685175575659,41785,192.168.1.204 CPU,0,0
1685175576674,27670,192.168.1.204 Memory,0,0
1685175576674,50199,192.168.1.204 CPU,0,0
1685175577684,27906,192.168.1.204 Memory,0,0
1685175577684,44372,192.168.1.204 CPU,0,0
1685175578685,28231,192.168.1.204 Memory,0,0
1685175578685,45371,192.168.1.204 CPU,0,0
