timeStamp,elapsed,label,grpThreads,allThreads
1685175676655,26355,192.168.1.204 Memory,0,0
1685175676655,1411,192.168.1.204 CPU,0,0
1685175677664,26343,192.168.1.204 Memory,0,0
1685175677664,398,192.168.1.204 CPU,0,0
1685175678672,26332,192.168.1.204 Memory,0,0
1685175678672,0,192.168.1.204 CPU,0,0
1685175679682,26322,192.168.1.204 Memory,0,0
1685175679682,373,192.168.1.204 CPU,0,0
1685175680683,26317,192.168.1.204 Memory,0,0
1685175680683,6992,192.168.1.204 CPU,0,0
1685175681683,26977,192.168.1.204 Memory,0,0
1685175681683,49439,192.168.1.204 CPU,0,0
1685175682695,27261,192.168.1.204 Memory,0,0
1685175682695,45818,192.168.1.204 CPU,0,0
1685175683696,27484,192.168.1.204 Memory,0,0
1685175683696,55420,192.168.1.204 CPU,0,0
1685175684710,27802,192.168.1.204 Memory,0,0
1685175684710,51008,192.168.1.204 CPU,0,0
1685175685714,28012,192.168.1.204 Memory,0,0
1685175685714,50548,192.168.1.204 CPU,0,0
1685175686728,28093,192.168.1.204 Memory,0,0
1685175686728,56935,192.168.1.204 CPU,0,0
1685175687741,28383,192.168.1.204 Memory,0,0
1685175687741,48024,192.168.1.204 CPU,0,0
1685175688752,28563,192.168.1.204 Memory,0,0
1685175688752,51538,192.168.1.204 CPU,0,0
1685175689754,28624,192.168.1.204 Memory,0,0
1685175689754,53321,192.168.1.204 CPU,0,0
