timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685174729203,25713,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174729203,889,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174730209,25713,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174730209,1190,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174731214,25713,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174731214,1174,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174732220,25713,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174732220,753,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174733224,25412,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174733224,9677,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174734406,25613,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174734406,19350,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174735406,25839,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174735406,32071,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174736418,25787,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174736418,28323,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174737441,25937,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174737441,29242,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174738443,25910,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174738443,29327,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174739455,25910,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174739455,30248,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174740455,25910,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174740455,27372,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174741467,25910,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174741467,26989,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174742490,25891,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174742490,27331,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174743496,25891,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174743496,30123,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174744507,25961,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174744507,41449,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174745519,27811,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174745519,36799,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174746530,27257,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174746530,28535,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174747531,28488,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174747531,26894,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174748539,28865,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174748539,30145,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174749545,28867,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174749545,29457,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685174750560,27445,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685174750560,30575,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
