timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685183573462,1069,HTTP Request,200,OK,HomeworkUpload 1-1669,text,true,,635,102564,2000,2000,https://192.168.1.204:3001/homework,1064,0,930
1685183573447,1084,HTTP Request,200,OK,HomeworkUpload 1-1654,text,true,,635,102540,2000,2000,https://192.168.1.204:3001/homework,1079,0,925
1685183573463,1088,HTTP Request,200,OK,HomeworkUpload 1-685,text,true,,635,102540,2000,2000,https://192.168.1.204:3001/homework,1088,0,932
1685183573463,1162,HTTP Request,200,OK,HomeworkUpload 1-1744,text,true,,635,102549,2000,2000,https://192.168.1.204:3001/homework,1162,0,929
1685183573447,1179,HTTP Request,200,OK,HomeworkUpload 1-922,text,true,,635,102546,2000,2000,https://192.168.1.204:3001/homework,1179,0,945
1685183573443,1184,HTTP Request,200,OK,HomeworkUpload 1-1693,text,true,,635,102564,2000,2000,https://192.168.1.204:3001/homework,1184,0,949
1685183573445,1183,HTTP Request,200,OK,HomeworkUpload 1-1774,text,true,,635,102543,2000,2000,https://192.168.1.204:3001/homework,1183,0,947
1685183573463,1165,HTTP Request,200,OK,HomeworkUpload 1-460,text,true,,635,102555,2000,2000,https://192.168.1.204:3001/homework,1165,0,942
1685183573448,1180,HTTP Request,200,OK,HomeworkUpload 1-208,text,true,,635,102549,2000,2000,https://192.168.1.204:3001/homework,1180,0,935
1685183573524,1155,HTTP Request,200,OK,HomeworkUpload 1-759,text,true,,635,102555,2000,2000,https://192.168.1.204:3001/homework,1155,0,871
1685183573463,1216,HTTP Request,200,OK,HomeworkUpload 1-1591,text,true,,635,102537,2000,2000,https://192.168.1.204:3001/homework,1216,0,940
1685183573523,1157,HTTP Request,200,OK,HomeworkUpload 1-603,text,true,,635,102558,2000,2000,https://192.168.1.204:3001/homework,1157,0,871
1685183573444,1310,HTTP Request,200,OK,HomeworkUpload 1-1759,text,true,,635,102540,2000,2000,https://192.168.1.204:3001/homework,1310,0,942
1685183573444,1324,HTTP Request,200,OK,HomeworkUpload 1-676,text,true,,635,102546,2000,2000,https://192.168.1.204:3001/homework,1324,0,942
1685183573305,1465,HTTP Request,200,OK,HomeworkUpload 1-910,text,true,,635,102561,2000,2000,https://192.168.1.204:3001/homework,1465,0,1096
1685183573443,1328,HTTP Request,200,OK,HomeworkUpload 1-1873,text,true,,635,102549,2000,2000,https://192.168.1.204:3001/homework,1328,0,965
1685183573463,1308,HTTP Request,200,OK,HomeworkUpload 1-1849,text,true,,635,102552,2000,2000,https://192.168.1.204:3001/homework,1308,0,940
1685183573306,1466,HTTP Request,200,OK,HomeworkUpload 1-1259,text,true,,635,102558,2000,2000,https://192.168.1.204:3001/homework,1466,0,1086
1685183573384,1395,HTTP Request,200,OK,HomeworkUpload 1-1705,text,true,,635,102552,2000,2000,https://192.168.1.204:3001/homework,1395,0,1103
1685183573462,1317,HTTP Request,200,OK,HomeworkUpload 1-409,text,true,,635,102555,2000,2000,https://192.168.1.204:3001/homework,1317,0,947
1685183573398,1382,HTTP Request,200,OK,HomeworkUpload 1-634,text,true,,635,102543,2000,2000,https://192.168.1.204:3001/homework,1382,0,1011
1685183573446,1334,HTTP Request,200,OK,HomeworkUpload 1-1747,text,true,,635,102534,2000,2000,https://192.168.1.204:3001/homework,1334,0,963
1685183573514,1266,HTTP Request,200,OK,HomeworkUpload 1-1054,text,true,,635,102561,2000,2000,https://192.168.1.204:3001/homework,1266,0,895
1685183573443,1337,HTTP Request,200,OK,HomeworkUpload 1-352,text,true,,635,102543,2000,2000,https://192.168.1.204:3001/homework,1337,0,953
1685183573450,1331,HTTP Request,200,OK,HomeworkUpload 1-1783,text,true,,635,102555,2000,2000,https://192.168.1.204:3001/homework,1331,0,944
1685183573301,2125,HTTP Request,200,OK,HomeworkUpload 1-1167,text,true,,635,102546,2000,2000,https://192.168.1.204:3001/homework,2125,0,1296
1685183573462,1965,HTTP Request,200,OK,HomeworkUpload 1-1750,text,true,,635,102534,2000,2000,https://192.168.1.204:3001/homework,1965,0,1126
1685183573462,2258,HTTP Request,200,OK,HomeworkUpload 1-571,text,true,,635,102546,2000,2000,https://192.168.1.204:3001/homework,2258,0,1124
1685183573405,2316,HTTP Request,200,OK,HomeworkUpload 1-52,text,true,,635,102546,2000,2000,https://192.168.1.204:3001/homework,2316,0,1182
1685183573463,2260,HTTP Request,200,OK,HomeworkUpload 1-379,text,true,,635,102537,2000,2000,https://192.168.1.204:3001/homework,2260,0,1127
1685183573378,2349,HTTP Request,200,OK,HomeworkUpload 1-349,text,true,,635,102534,2000,2000,https://192.168.1.204:3001/homework,2349,0,1198
1685183573464,2263,HTTP Request,200,OK,HomeworkUpload 1-949,text,true,,635,102555,2000,2000,https://192.168.1.204:3001/homework,2263,0,1127
1685183573377,2350,HTTP Request,200,OK,HomeworkUpload 1-1906,text,true,,635,102540,2000,2000,https://192.168.1.204:3001/homework,2350,0,1211
1685183573447,2280,HTTP Request,200,OK,HomeworkUpload 1-532,text,true,,635,102558,2000,2000,https://192.168.1.204:3001/homework,2280,0,1150
1685183573384,2343,HTTP Request,200,OK,HomeworkUpload 1-1854,text,true,,635,102558,2000,2000,https://192.168.1.204:3001/homework,2343,0,1213
1685183573404,2323,HTTP Request,200,OK,HomeworkUpload 1-106,text,true,,635,102558,2000,2000,https://192.168.1.204:3001/homework,2323,0,1043
1685183573386,2342,HTTP Request,200,OK,HomeworkUpload 1-20,text,true,,635,102540,2000,2000,https://192.168.1.204:3001/homework,2341,0,1205
1685183573307,2426,HTTP Request,200,OK,HomeworkUpload 1-774,text,true,,635,102555,2000,2000,https://192.168.1.204:3001/homework,2426,0,1090
1685183573384,2349,HTTP Request,200,OK,HomeworkUpload 1-971,text,true,,635,102564,2000,2000,https://192.168.1.204:3001/homework,2349,0,1008
1685183573464,2272,HTTP Request,200,OK,HomeworkUpload 1-709,text,true,,635,102537,2000,2000,https://192.168.1.204:3001/homework,2272,0,924
1685183573443,2389,HTTP Request,200,OK,HomeworkUpload 1-1600,text,true,,635,102537,2000,2000,https://192.168.1.204:3001/homework,2389,0,1113
1685183573462,2370,HTTP Request,200,OK,HomeworkUpload 1-844,text,true,,635,102537,2000,2000,https://192.168.1.204:3001/homework,2370,0,1081
1685183573464,2369,HTTP Request,200,OK,HomeworkUpload 1-277,text,true,,635,102546,2000,2000,https://192.168.1.204:3001/homework,2369,0,1080
1685183573465,2368,HTTP Request,200,OK,HomeworkUpload 1-1588,text,true,,635,102534,2000,2000,https://192.168.1.204:3001/homework,2368,0,1085
1685183573463,2370,HTTP Request,200,OK,HomeworkUpload 1-361,text,true,,635,102564,2000,2000,https://192.168.1.204:3001/homework,2370,0,1090
1685183573464,2369,HTTP Request,200,OK,HomeworkUpload 1-859,text,true,,635,102552,2000,2000,https://192.168.1.204:3001/homework,2369,0,1089
1685183573463,2375,HTTP Request,200,OK,HomeworkUpload 1-445,text,true,,635,102537,2000,2000,https://192.168.1.204:3001/homework,2375,0,933
1685183573348,2490,HTTP Request,200,OK,HomeworkUpload 1-654,text,true,,635,102534,2000,2000,https://192.168.1.204:3001/homework,2490,0,1138
1685183573497,2345,HTTP Request,200,OK,HomeworkUpload 1-1579,text,true,,635,102540,2000,2000,https://192.168.1.204:3001/homework,2345,0,911
1685183573447,2395,HTTP Request,200,OK,HomeworkUpload 1-184,text,true,,635,102534,2000,2000,https://192.168.1.204:3001/homework,2395,0,954
1685183573305,2542,HTTP Request,200,OK,HomeworkUpload 1-1286,text,true,,635,102561,2000,2000,https://192.168.1.204:3001/homework,2542,0,1094
1685183573444,2403,HTTP Request,200,OK,HomeworkUpload 1-550,text,true,,635,102558,2000,2000,https://192.168.1.204:3001/homework,2403,0,1046
1685183573378,2470,HTTP Request,200,OK,HomeworkUpload 1-1987,text,true,,635,102540,2000,2000,https://192.168.1.204:3001/homework,2470,0,1016
1685183573401,2447,HTTP Request,200,OK,HomeworkUpload 1-754,text,true,,635,102549,2000,2000,https://192.168.1.204:3001/homework,2447,0,994
1685183573463,2385,HTTP Request,200,OK,HomeworkUpload 1-988,text,true,,635,102552,2000,2000,https://192.168.1.204:3001/homework,2385,0,931
1685183573462,2387,HTTP Request,200,OK,HomeworkUpload 1-70,text,true,,635,102561,2000,2000,https://192.168.1.204:3001/homework,2387,0,1026
1685183573447,2403,HTTP Request,200,OK,HomeworkUpload 1-514,text,true,,635,102546,2000,2000,https://192.168.1.204:3001/homework,2403,0,1041
