timeStamp,elapsed,label,grpThreads,allThreads
1685175934838,28866,192.168.1.204 Memory,0,0
1685175934838,1927,192.168.1.204 CPU,0,0
1685175935853,28866,192.168.1.204 Memory,0,0
1685175935853,401,192.168.1.204 CPU,0,0
1685175936866,28866,192.168.1.204 Memory,0,0
1685175936866,375,192.168.1.204 CPU,0,0
1685175937876,28866,192.168.1.204 Memory,0,0
1685175937876,400,192.168.1.204 CPU,0,0
1685175939032,28616,192.168.1.204 Memory,0,0
1685175939032,7814,192.168.1.204 CPU,0,0
1685175940036,29394,192.168.1.204 Memory,0,0
1685175940036,45570,192.168.1.204 CPU,0,0
1685175941050,29437,192.168.1.204 Memory,0,0
1685175941050,46763,192.168.1.204 CPU,0,0
1685175942064,29232,192.168.1.204 Memory,0,0
1685175942064,47073,192.168.1.204 CPU,0,0
1685175943077,29323,192.168.1.204 Memory,0,0
1685175943077,39706,192.168.1.204 CPU,0,0
1685175944088,29487,192.168.1.204 Memory,0,0
1685175944088,39925,192.168.1.204 CPU,0,0
1685175945089,29485,192.168.1.204 Memory,0,0
1685175945089,45119,192.168.1.204 CPU,0,0
1685175946096,29484,192.168.1.204 Memory,0,0
1685175946096,40719,192.168.1.204 CPU,0,0
1685175947106,29343,192.168.1.204 Memory,0,0
1685175947106,40302,192.168.1.204 CPU,0,0
1685175948119,29341,192.168.1.204 Memory,0,0
1685175948119,38438,192.168.1.204 CPU,0,0
